Block,RandomForest,SVM,XGBoost
Real_Block1,0.8351292997907833,0.6692179526341181,0.8355818429977866
Real_Block2,0.8336844015990652,0.6136321216705334,0.8352510782053427
Real_Block3,0.8335973603060429,0.6177864456436624,0.8347463338594053
Real_Block4,0.8329910955632972,0.6733994923525604,0.8350276703006854
CTGAN_Block1,0.8390633219876312,0.7286310125554254,0.8400208368182579
CTGAN_Block2,0.8400383129571312,0.6733429789983296,0.842980283206179
CTGAN_Block3,0.8405431057889748,0.6804272062905615,0.8416571513075436
CTGAN_Block4,0.8395536963230713,0.6641200989839778,0.8412770399839026
VAE_Block1,0.8064758321999752,0.5599075858624795,0.8051179904531249
VAE_Block2,0.8097310335255798,0.5629231243833199,0.8068413735087555
VAE_Block3,0.8117156131891363,0.6106577082893929,0.8119070022133817
VAE_Block4,0.8090556278803659,0.5590511126303361,0.8086029604282274
