Model_Name,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy
RandomForest,0.8277737110223818,0.013178209454428035,0.8073113837635246,0.8408912103536805
SVM,0.6452332682208015,0.07113794432681717,0.5516067926330515,0.7701828191402964
XGBoost,0.8296537500212126,0.012094419329464853,0.8114022154422763,0.8421098520937426
